ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,21479.44477460901,17064.102917107877,27779.197378501973,21479.44477460901,21479.44477460901,828.6191474917036,828.6191474917036,828.6191474917036,240.69501629112094,240.69501629112094,240.69501629112094,587.9241312005828,587.9241312005828,587.9241312005828,0.0,0.0,0.0,22308.063922100715
2020-01-02,21479.424354109247,16788.549922961065,27544.956226574646,21479.424354109247,21479.424354109247,584.5800962404903,584.5800962404903,584.5800962404903,15.713991667202812,15.713991667202812,15.713991667202812,568.8661045732875,568.8661045732875,568.8661045732875,0.0,0.0,0.0,22064.004450349737
2020-01-03,21479.403933609487,15891.851875005972,26820.748174492986,21479.403933609487,21479.403933609487,-205.54922873359004,-205.54922873359004,-205.54922873359004,-747.3336135359748,-747.3336135359748,-747.3336135359748,541.7843848023848,541.7843848023848,541.7843848023848,0.0,0.0,0.0,21273.854704875896
2020-01-04,21479.383513109726,16920.954320828205,28072.4140559546,21479.383513109726,21479.383513109726,859.0157239022645,859.0157239022645,859.0157239022645,351.65304209240065,351.65304209240065,351.65304209240065,507.36268180986394,507.36268180986394,507.36268180986394,0.0,0.0,0.0,22338.39923701199
2020-01-05,21479.363092609965,16612.65120599044,27258.332680132447,21479.363092609965,21479.363092609965,701.2053995796274,701.2053995796274,701.2053995796274,234.81271771576945,234.81271771576945,234.81271771576945,466.3926818638579,466.3926818638579,466.3926818638579,0.0,0.0,0.0,22180.56849218959
2020-01-06,21479.3426721102,16663.32605871515,27693.42273895928,21479.3426721102,21479.3426721102,675.950747277767,675.950747277767,675.950747277767,256.1974819065793,256.1974819065793,256.1974819065793,419.75326537118775,419.75326537118775,419.75326537118775,0.0,0.0,0.0,22155.293419387966
2020-01-07,21479.322251610436,16189.613000809493,26826.676968334432,21479.322251610436,21479.322251610436,16.64992714412459,16.64992714412459,16.64992714412459,-351.7386361383897,-351.7386361383897,-351.7386361383897,368.38856328251427,368.38856328251427,368.38856328251427,0.0,0.0,0.0,21495.97217875456
2020-01-08,21479.30183111068,16311.701992733475,27315.847553227377,21479.30183111068,21479.30183111068,553.9804622705927,553.9804622705927,553.9804622705927,240.69501629296383,240.69501629296383,240.69501629296383,313.28544597762897,313.28544597762897,313.28544597762897,0.0,0.0,0.0,22033.28229338127
2020-01-09,21479.281410610914,16289.271919760744,27325.582146232733,21479.281410610914,21479.281410610914,271.16502872092383,271.16502872092383,271.16502872092383,15.71399166718519,15.71399166718519,15.71399166718519,255.45103705373864,255.45103705373864,255.45103705373864,0.0,0.0,0.0,21750.446439331838
2020-01-10,21479.260990111157,15338.966137835703,26341.822812865754,21479.260990111157,21479.260990111157,-551.4427870456079,-551.4427870456079,-551.4427870456079,-747.3336135349776,-747.3336135349776,-747.3336135349776,195.89082648936974,195.89082648936974,195.89082648936974,0.0,0.0,0.0,20927.818203065548
